Place,County
Barnsley,South Yorkshire
Basildon,Essex
Brentwood,Essex
Bassetlaw,Nottinghamshire
Bath and North East Somerset,Somerset
Swindon,Wiltshire
Wiltshire,Wiltshire
Bedfordshire,Bedfordshire
Luton,Bedfordshire
Milton Keynes,Buckinghamshire
Berkshire West,Berkshire
Birmingham,West Midlands
Solihull,West Midlands
Black Country,West Midlands
West Birmingham,West Midlands
Blackburn with Darwen,Lancashire
Blackpool,Lancashire
Bolton,Greater Manchester
Bradford,West Yorkshire
Craven,North Yorkshire
Brighton,East Sussex
Hove,East Sussex
Bristol,Bristol
North Somerset,Somerset
South Gloucestershire,Gloucestershire
Buckinghamshire,Buckinghamshire
Bury,Greater Manchester
Calderdale,West Yorkshire
Cambridgeshire,Cambridgeshire
Peterborough,Cambridgeshire
Cannock Chase,Staffordshire
Castle Point,Essex
Rochford,Essex
Cheshire,Cheshire
Chorley,Lancashire
South Ribble,Lancashire
Cornwall,Cornwall
Isles of Scilly,Cornwall
County Durham,County Durham
Coventry,West Midlands
Warwickshire,Warwickshire
Derby,Derbyshire
Derbyshire,Derbyshire
Devon,Devon
Doncaster,South Yorkshire
Dorset,Dorset
East Hertfordshire,Hertfordshire
North Hertfordshire,Hertfordshire
East Lancashire,Lancashire
Leicestershire,Leicestershire
Rutland,Rutland
East Riding of Yorkshire,East Yorkshire
East Staffordshire,Staffordshire
East Sussex,East Sussex
Frimley,Surrey
Fylde,Lancashire
Wyre,Lancashire
Gloucestershire,Gloucestershire
Greater Preston,Lancashire
Halton,Cheshire
Hampshire,Hampshire
Southampton,Hampshire
Isle of Wight,Isle of Wight
Herefordshire,Herefordshire
Worcestershire,Worcestershire
Hertfordshire,Hertfordshire
Heywood,Greater Manchester
Middleton,Greater Manchester
Rochdale,Greater Manchester
Hull,East Yorkshire
Ipswich,Suffolk
East Suffolk,Suffolk
Kent,Kent
Medway,Kent
Kirklees,West Yorkshire
Knowsley,Merseyside
Leeds,West Yorkshire
Leicester,Leicestershire
Lincolnshire,Lincolnshire
Liverpool,Merseyside
Manchester,Greater Manchester
Mid Essex,Essex
Morecambe Bay,Lancashire
Newcastle,Tyne and Wear
Gateshead,Tyne and Wear
Norfolk,Norfolk
Waveney,Suffolk
North Central London,London
Cumbria,Cumbria
North East Essex,Essex
North East Lincolnshire,Lincolnshire
North East London,London
North Lincolnshire,Lincolnshire
North Staffordshire,Staffordshire
North Tyneside,Tyne and Wear
North West London,London
North Yorkshire,North Yorkshire
Northamptonshire,Northamptonshire
Northumberland,Northumberland
Nottingham,Nottinghamshire
Nottinghamshire,Nottinghamshire
Oldham,Greater Manchester
Oxfordshire,Oxfordshire
Portsmouth,Hampshire
Rotherham,South Yorkshire
Salford,Greater Manchester
Sheffield,South Yorkshire
Shropshire,Shropshire
Telford,Shropshire
Wrekin,Shropshire
Somerset,Somerset
South East London,London
South Staffordshire,Staffordshire
Seisdon Peninsula,Staffordshire
South Sefton,Merseyside
South Tyneside,Tyne and Wear
South West London,London
Southend,Essex
Southport,Merseyside
Formby,Merseyside
St Helens,Merseyside
Stafford,Staffordshire
Stockport,Greater Manchester
Stoke on Trent,Staffordshire
Sunderland,Tyne and Wear
Surrey,Surrey
Tameside,Greater Manchester
Tees Valley,Teesside
Thurrock,Essex
Trafford,Greater Manchester
York,North Yorkshire
Wakefield,West Yorkshire
Warrington,Cheshire
West Essex,Essex
West Lancashire,Lancashire
West Leicestershire,Leicestershire
West Suffolk,Suffolk
West Sussex,West Sussex
Wigan,Greater Manchester
Wirral,Merseyside
